ra,dec,W1mag,W2mag,W3mag,PS1zmag,PS1ymag,Jmag
201.52171498046113,12.002663220448323,16.726,15.363,12.677,22.2017002105713,20.2805995941162,17.494
207.03293681058554,12.012383973002882,17.75,17.373,12.763,22.9719009399414,21.4186000823975,19.599
216.41959587817243,10.440924704616918,17.629,16.991,12.905,23.0531997680664,21.1142997741699,19.608
212.81499354049723,10.98703362124033,17.781,16.816,12.96,23.1781997680664,20.6732006072998,18.342
218.24361799661972,13.295036519208145,18.097,17.187,12.956,22.6443996429443,20.7963008880615,19.326
219.27108731034627,13.335801186177651,17.943,16.949,12.878,22.6821002960205,21.1021995544434,19.279
160.95901700195972,8.733542607684848,17.372,16.762,12.502,23.1051998138428,21.2649002075195,19.653
173.61304286504947,5.396053508183717,16.405,15.703,12.445,23.0186996459961,20.7094993591309,18.356
173.19308325332742,7.083153066447444,17.448,16.518,12.564,23.4241008758545,21.5487003326416,20.2
173.53317563371272,7.305774963948824,16.713,15.771,12.497,23.4820003509521,21.4748001098633,20.051
171.4700223067984,8.448364882558334,17.351,16.593,12.386,22.8038005828857,21.2080001831055,19.159
170.53732842197388,9.71538542505274,17.281,16.561,11.839,22.4463996887207,20.8733005523682,19.078
183.48094816823212,5.587824012107413,16.887,16.306,12.514,22.2091999053955,20.399299621582,17.882
187.31458511495902,6.929796852564446,17.566,16.807,12.154,23.2313003540039,21.5951995849609,19.926
